"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::forLoop","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::foreach","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::ifElement","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::intrface","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::invocation","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::lambda","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::literal","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::localVariable","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::m","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::newArray","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::newClass","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::operator","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::parameter","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::ref","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::reference","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::returnStatement","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
